ACTIVITYCODE,ACTIVITYENGLISH,ACTIVITYARABIC
G521904,General Trading,تجارة عامة
G521904,General Trading,تجارة عامة
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513102,"Blankets, Towels and Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
Other,Other Activity,نشاط آخر
G521904,General Trading,تجارة عامة
I602301,Cargo Transport by Heavy Trucks,نقل المواد العامة بالشاحنات الثقيلة
K712202,"Handling, Loading & Lifting Equipment Rental",تأجير معدات وآلات التحميل والرفع
G512200,Foodstuff and Beverages Trading,تجارة المواد الغذائية والمشروبات
Other,Other Activity,نشاط آخر
G514300,Building and Construction Materials Trading,تجارة مواد البناء
F454010,Engraving & Ornamentation  Works,أعمال النقش والزخرفة
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
G514305,Building Metal Products Trading,تجارة الأشغال المعدنية للأبنية
G513931,Gifts Trading,تجارة الهدايا
G513934,Novelties Trading,تجارة التحف الفنية
D369105,Goldsmith,صائغ ذهب ومجوهرات ثمينة
G513928,Jewellery Trading,تجارة المجوهرات والمصوغات من الذهب والفضة
G513929,Pearls and Precious Stones Trading,تجارة اللؤلؤ والأحجار الكريمة
G514203,Basic Non Ferrous Metal Products Trading,تجارة المنتجات الأساسية للمعادن غير الحديدية
K701006,Hotel Apartments Rental,تأجير الشقق الفندقية
G513967,Pharmacy,صيدلية
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513959,Agarwood & Incense Trading,تجارة العود والبخور والطيب
Other,Other Activity,نشاط آخر
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513102,"Blankets , Towels & Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
G512200,Food & Beverages Trading,تجارة المواد الغذائية والمشروبات
G512232,Vegetables & Fruit Trading,تجارة الخضار والفواكه
G512228,Tobacco & Cigarettes Trading,تجارة التبغ المعالج والسجائر
G521103,Grocery Store,بقالة
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454003,Floor and wall Tiling Works,أعمال تبليط الأرضيات والحوائط
O924906,Passenger Yachts & Boats Rental,تأجير قوارب وسفن النزهة
K701001,Buying and Selling of Real Estate,شراء الأراضي والعقارات وبيعها
Other,Other Activity,نشاط آخر
K701003,Others Property Management Services,خدمات تأجير وإدارة العقارات للغير
K741404,Real Estate Consultancies,الإستشارات العقارية
K701014,Self- owned Property Management Services,خدمات تأجير وإدارة العقارات الخاصة
F452001,Building Contracting,مقاولات البناء
G512200,Foodstuff and Beverages Trading,تجارة المواد الغذائية والمشروبات
G512232,Vegetables & Fruit Trading,تجارة الخضار والفواكه
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F453001,"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F454010,Engraving and Ornamentation Works,أعمال النقش والزخرفة
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453011,Metal Parts & Erections Contracting,تركيب التجهيزات والأجزاء المعدنية
F453013,Plumbing & Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454019,Plaster & Cladding Works,أعمال التكسية
F453001,"Air-Conditioning, Ventilations & Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454003,Floor and wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F453001,"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454019,Cladding Works,أعمال التكسية
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454004,Painting Contracting,أعمال الأصباغ والدهانات
G503001,Auto Spare Parts and components Trading,تجارة قطع غيار السيارات والمركبات ومكوناتها
G521904,General Trading,تجارة عامة
K701001,Buying and selling of real estate,شراء الأراضي والعقارات وبيعها
K702001,Real Estate buying & selling Brokerage,الوساطة في بيع العقارات وشرائها
K701003,Leasing and Management of other people's property,خدمات تأجير وإدارة العقارات للغير
K701014,Self- owned Property Management Services,خدمات تأجير وإدارة العقارات الخاصة
G521904,General Trading,تجارة عامة
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
G513101,Textile Trading,تجارة المنسوجات والأقمشة
Other,Other Activity,نشاط آخر
G513102,"Blankets , Towels & Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513117,Shoe Trading,تجارة الأحذية
G513101,Textile Trading,تجارة المنسوجات والأقمشة
D181017,Ladies Wears Tailoring & Embroidery Workshop,مشغل خياطة وتطريز نسائي
G521904,General Trading,تجارة عامة
G513947,Photographic Equipment and Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
K749402,Film Developing,معالجة أفلام التصوير
G513105,Carpets Trading,تجارة السجاد
Other,Other Activity,نشاط آخر
G514311,False Ceilings Trading,تجارة الأسقف المعلقة
G514321,Decoration Materials & Partitions Trading,تجارة مواد الديكور والقواطع
G514322,Wall Paper Trading,تجارة ورق الجدران
G521904,General Trading,تجارة عامة
G521904,General Trading,تجارة عامة
F454015,Electrical Fittings & Fixtures Services,إصلاح التمديدات والتركيبات الكهربائية
G513915,"Refrigerators , Washing Machines & Household Electrical Appliances Trd",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G515103,Computer & Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G513927,Watches & Clocks & Spare Parts Trading,تجارة الساعات وقطع غيارها
G515207,Mobile Phones & Accessories Trading,تجارة الهواتف المتحركة
F453019,Fire Fighting and Safety Equipment Installation,تركيب معدات السلامة وإطفاء الحريق
G514914,Fire Extinguishing Materials Trading,تجارة مواد مكافحة وإطفاء الحريق
G515909,Fire Fighting and Safety Equipment Trading,تجارة معدات وأجهزة السلامة وإطفاء الحريق
G513914,"Audio-Visual, Recording Equipment & Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
J659901,Investment in Commercial Enterprises and Management,الإستثمار في المشروعات التجارية وتأسيسها وإدارتها
J659903,Investment in Agricultural Enterprises and Management,الاستثمار في المشروعات الزراعية وتأسيسها وادارتها
J659902,Investment in Industrial Enterprises & Management,الإستثمار في المشروعات الصناعية وتأسيسها وإدارتها
J659916,Investment in Educational Enterprises & Management,الاستثمار في المشروعات التعليمية وتأسيسها وإدارتها
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G515103,Computer and Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G513914,"Audio-Visual, Recording Equipment & Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G513947,Photographic Equipment & Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
K725001,Computer Repair and Maintenance,إصلاح أجهزة الحاسب الآلي وصيانتها
G526013,Mobile Phone Repair,إصلاح الهواتف المتحركة
G515207,Mobile Phones Trading,تجارة الهواتف المتحركة
G513105,Carpets Trading,تجارة السجاد
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513931,Gifts Trading,تجارة الهدايا
G513934,Novelties Trading,تجارة التحف الفنية
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513102,"Blankets , Towels & Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513117,Shoe Trading,تجارة الأحذية
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
K702003,Leasing Property Brokerage Agents,الوساطة في تأجير العقارات
K702001,Real Estate buying & selling Brokerage,الوساطة في بيع العقارات وشرائها
F452021,General Maintenance,الصيانة العامة
F454007,Building Maintenance,صيانة المباني
F453014,Electrical Fitting Contracting,أعمال التمديدات الكهربائية
F453001,"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F453023,Solar Energy Systems Installation and Maintenance,تركيب أجهزة الطاقة الشمسية وصيانتها
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
G513914,"Audio-visual, Recording Equipment and Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G513915,"Refrigerators , Washing Machines & Household Electrical Appliances Trd",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G513947,Photographic Equipment and Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G515916,Air-Condition Trading,تجارة مكيفات الهواء
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G513933,Toys and Games Trading,تجارة لعب الأطفال
G515953,Calculators and Spare Parts Trading,تجارة الآلات الحاسبة وقطع غيارها
G515206,Telephones and Telecommunications Equipment Trading,تجارة الهواتف وأجهزة الإتصال السلكي
G515207,Mobile Phones & Accessories Trading,تجارة الهواتف المتحركة
G513913,Cookers and Cook Stoves Trading,تجارة المواقد والأفران والطابخات
G521904,General Trading,تجارة عامة
G521904,General Trading,تجارة عامة
G513914,"Audio-visual, Recording Equipment and Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G513915,"Refrigerators, Washing Machines and Household Electrical Appliances Trading",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G513933,Toys & Games Trading,تجارة لعب الأطفال
G513947,Photographic Equipment & Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G515205,Electrical & Electronic Appliances Spare Parts Trading,تجارة قطع غيار الأجهزة الكهربائية والإلكترونية
G515916,Air-Condition Trading,تجارة مكيفات الهواء
G521904,General Trading,تجارة عامة
G515101,Computer Electric Accessories Trading,تجارة تمديدات شبكات الحاسب الآلي
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G515103,Computer & Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G515104,Computer Equipment & Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
K722901,Software House,تصميم نظم الحاسب الآلي
K725001,Computer Repairing & Maintenance,إصلاح أجهزة الحاسب الآلي وصيانتها
G513102,"Blankets, Towels and Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
G513901,Handbags & Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G513945,Suitcases & Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513959,Agarwood & Incense Trading,تجارة العود والبخور والطيب
G513113,Sports Wear Trading,تجارة الملابس الرياضية
G513941,Sport Equipment and Articles Trading,تجارة المعدات والأدوات الرياضية
G513944,Camping Requisites Trading,تجارة لوازم وأدوات الرحلات
D369905,Brooms and Cleaning Articles Manufacturing,صناعة المكانس وأدوات التنظيف
D252002,Plastic Utensils Manufacturing,صناعة الأواني المنزلية البلاستيكية
G513911,Household Utensils Trading,تجارة الأدوات والأواني المنزلية
G513913,Cookers and Cook Stoves Trading,تجارة المواقد والأفران والطابخات
G513914,"Audio-Visual, Recording Equipment & Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G513915,"Refrigerators, Washing Machines and Household Electrical Appliances Trading",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515208,Paging Receivers Trading,تجارة أجهزة النداء العام
G515213,Satellite Receiving Equipment Trading,تجارة معدات إستقبال القنوات التلفزيونية الفضائية
G515916,Air-Condition Trading,تجارة مكيفات الهواء
G521904,General Trading,تجارة عامة
G512221,Nuts Trading,تجارة المكسرات
G513931,Gifts Trading,تجارة الهدايا
G513936,Artificial Flowers & Plants Trading,تجارة الزهور والنباتات الصناعية والمجففة
G512200,Foodstuff and Beverages Trading,تجارة المواد الغذائية والمشروبات
G512106,"Grains, Cereals and Legumes Trading",تجارة الغلال والحبوب والبقول
G512105,Dates Trading,تجارة التمور
Other,Other Activity,نشاط آخر
G503002,Auto Accessories Trading,تجارة الأجزاء الإضافية للسيارات
G503001,Auto Spare Parts and components Trading,تجارة قطع غيار السيارات والمركبات ومكوناتها
G503002,Auto Accessories Trading,تجارة الأجزاء الإضافية للسيارات
G503003,Tyres and Rims Trading,تجارة إطارات السيارات
Other,Other Activity,نشاط آخر
G514209,Workshop Hardware and Tools Trading,تجارة عدد وأدوات الورش
G514206,"Bolts, Nuts, Screws and Nails Trading",تجارة أدوات الرباط ولوازمها
G514300,Building and Construction Materials Trading,تجارة مواد البناء
G514339,Paint and Varnish Trading,تجارة الأصباغ والملمعات
G514208,Building Hardware and Tools Trading,تجارة عدد وأدوات البناء
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454015,Electrical Fittings and Fixtures Services,إصلاح التمديدات والتركيبات الكهربائية
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454010,Engraving & Ornamentation  Works,أعمال النقش والزخرفة
F454009,Interior Decoration,أعمال تنفيذ التصميم الداخلي
F454009,Interior Decoration,أعمال تنفيذ التصميم الداخلي
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F453013,Plumbing & Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
K743004,Advertising Agency,وكالة إعلان
K743002,Advertisement Designing & Producing,تصميم وإنتاج الإعلانات
D221200,"Publishing Of Newspapers, Magazines & Periodicals",نشر الصحف والمجلات والدوريات
G521904,General Trading,تجارة عامة
F454003,Floor and wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454010,Engraving & Ornamentation  Works,أعمال النقش والزخرفة
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454019,Cladding Works,أعمال التكسية
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F453001,"Air-Conditioning, Ventilations & Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454019,Cladding Works,أعمال التكسية
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454004,Painting Contracting,أعمال الأصباغ والدهانات
G513113,Sports Wear Trading,تجارة الملابس الرياضية
G513941,Sport Equipment & Articles Trading,تجارة المعدات والأدوات الرياضية
G513105,Carpets Trading,تجارة السجاد
G513933,Toys & Games Trading,تجارة لعب الأطفال
G513102,"Blankets, Towels and Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513959,Agarwood and Incense Trading,تجارة العود والبخور والطيب
G513117,Shoe Trading,تجارة الأحذية
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G521904,General Trading,تجارة عامة
G513102,"Blankets, Towels and Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G521904,General Trading,تجارة عامة
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454019,Plaster & Cladding Works,أعمال التكسية
F454010,Engraving & Ornamentation  Works,أعمال النقش والزخرفة
F454004,Painting Contracting,أعمال الأصباغ والدهانات
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513904,"Stationery, Drawing and Writing Instruments Trading",تجارة الأدوات المكتبية وأدوات الكتابة والرسم
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G513933,Toys and Games Trading,تجارة لعب الأطفال
G513945,Suitcases and Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G514924,Construction Chemicals Trading,تجارة المواد الكيماوية لأغراض البناء
G515904,"Workshop Equipment, Machinery and Spare Parts Trading",تجارة معدات ومكائن الورش وقطع غيارها
G521904,General Trading,تجارة عامة
F453001,"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454019,Cladding Works,أعمال التكسية
F453014,Electrical Fitting Contracting,أعمال التمديدات الكهربائية
G515104,Computer Equipment & Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515101,Computer Electric Accessories Trading,تجارة تمديدات شبكات الحاسب الآلي
G515103,Computer & Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
F454004,Painting Contracting,أعمال الأصباغ والدهانات
G514300,Building & Construction Materials Trading,تجارة مواد البناء
H552001,Restaurant,مطعم
G512200,Food & Beverages Trading,تجارة المواد الغذائية والمشروبات
G512232,Vegetables & Fruit Trading,تجارة الخضار والفواكه
G521904,General Trading,تجارة عامة
G502004,Auto Air-Condition Repairing and Maintenance,إصلاح مكيفات هواء السيارات وصيانتها
Other,Other Activity,نشاط آخر
I630101,Customs Broker,المخلص الجمركي
I630104,Sea Cargo Services,خدمات الشحن البحري للبضائع
I630105,Air Cargo Services,خدمات الشحن الجوي للبضائع
I630203,General Warehousing,التخزين في مخازن عامة
I630103,Cargo Packaging,خدمات حزم البضائع
I630102,Cargo Loading and Unloading Services,خدمات تحميل وتفريغ البضائع
I602301,Cargo Transport by Heavy Trucks,نقل المواد العامة بالشاحنات الثقيلة
A011202,"Growing & Planting Trees Seedling,  Ornamental Plants and Annual Flowers",زراعة شتلات الأشجار والنباتات
G512103,Flowers & Ornamental Plants Trading,تجارة زهور القطف ونباتات الزينة الداخلية
A014007,Landscape & Gardening works & Maintenance,أعمال تنفيذ البستنة والتجميل الزراعي والصيانة
G513901,Handbags & Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G513945,Suitcases and Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513117,Shoe Trading,تجارة الأحذية
G513117,Shoe Trading,تجارة الأحذية
G513933,Toys and Games Trading,تجارة لعب الأطفال
G513102,"Blankets, Towels and Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513931,Gifts Trading,تجارة الهدايا
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513945,Suitcases and Travel Requisites Trading,تجارة الحقائب ولوازم السفر
A014001,Land Preparation & Irrigation Systems Works,أعمال إعداد الأراضي وتنفيذ  شبكات الري وصيانتها
F454013,Landscaping Works,تجميل الساحات الخارجية والداخلية
A014007,Landscape & Gardening works & Maintenance,أعمال تنفيذ البستنة والتجميل الزراعي والصيانة
Other,Other Activity,نشاط آخر
G521904,General Trading,تجارة عامة
I602104,Passengers Transport by Rented Buses,نقل الركاب بالحافلات المؤجرة
K711106,Buses Rental,تأجير الحافلات
K711106,Buses Rental,تأجير الحافلات
K711105,Car Rental,تأجير السيارات
G513915,"Refrigerators, Washing Machines and Household Electrical Appliances Trading",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G513917,Light Fitting and Fixtures Trading,تجارة أدوات الإنارة ولوازمها
G513922,Antennas Trading,تجارة الهوائيات
G513914,"Audio-visual, Recording Equipment and Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G515916,Air-Condition Trading,تجارة مكيفات الهواء
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515207,Mobile Phones Trading,تجارة الهواتف المتحركة
G515213,Satellite Receiving Equipment Trading,تجارة معدات إستقبال القنوات التلفزيونية الفضائية
G513947,Photographic Equipment and Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G515206,Telephones & Telecommunications Equipment Trading,تجارة الهواتف وأجهزة الإتصال السلكي
G513931,Gifts Trading,تجارة الهدايا
Other,Other Activity,نشاط آخر
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513102,"Blankets, Towels and Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G512200,Foodstuff and Beverages Trading,تجارة المواد الغذائية والمشروبات
K749502,Repackaging Services,خدمات إعادة التغليف و التعبئة
G515967,Ships and Boats Trading,تجارة السفن والقوارب
D351203,Ships and Boats Repair,إصلاح السفن والقوارب
G515983,"Marine Equipment, Engines Repair and Maintenance",إصلاح المكائن والمعدات البحرية وصيانتها
G515969,Ship & Boats Spare Parts & Components Trading,تجارة قطع غيار السفن والقوارب ومكوناتها
G512105,Dates Trading,تجارة التمور
G512200,Foodstuff and Beverages Trading,تجارة المواد الغذائية والمشروبات
G512202,Baby Food Trading,تجارة أغذية الأطفال
G512203,Snack Food Trading,تجارة الأغذية الخفيفة
G512229,Dried Vegetables & Fruit Trading,تجارة الخضار والفواكه المجففة
G512215,Bread and Bakery Products Trading,تجارة الخبز ومنتجات المخابز
G512219,Flour Trading,تجارة الدقيق
G512224,Soft Drinks and Carbonated Water Trading,تجارة المرطبات والمياه الغازية
G512225,Juice Trading,تجارة العصائر
G512204,Dairy Products Trading,تجارة الألبان ومنتجاتها
G521904,General Trading,تجارة عامة
G521904,General Trading,تجارة عامة
G513914,"Audio-visual, Recording Equipment and Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G513915,"Refrigerators , Washing Machines & Household Electrical Appliances Trd",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G513927,Watches & Clocks & Spare Parts Trading,تجارة الساعات وقطع غيارها
G513947,Photographic Equipment & Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G515207,Mobile Phones & Accessories Trading,تجارة الهواتف المتحركة
G515103,Computer & Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G515104,Computer Equipment & Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515201,Blank Cassettes Trading,تجارة شرائط التسجيل غير المسجلة
G515205,Electrical & Electronic Appliances Spare Parts Trading,تجارة قطع غيار الأجهزة الكهربائية والإلكترونية
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513117,Shoe Trading,تجارة الأحذية
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513931,Gifts Trading,تجارة الهدايا
G513102,"Blankets, Towels and Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513945,Suitcases & Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513933,Toys & Games Trading,تجارة لعب الأطفال
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
G513120,Garments Accessories Trading,تجارة مستلزمات الملابس
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513969,"Authentic Antiques, Artefacts & Artworks Trading",تجارة المقتنيات والقطع والأعمال الفنية الأصلية
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G513933,Toys & Games Trading,تجارة لعب الأطفال
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
I602301,Cargo Transport by Heavy Trucks,نقل المواد العامة بالشاحنات الثقيلة
I602310,Cargo Transport by Light Trucks,نقل المواد العامة بالشاحنات الخفيفة
K712202,"Handling, Loading & Lifting Equipment Rental",تأجير معدات وآلات التحميل والرفع
I602305,Water Transport,نقل المياه
G512226,Alcoholic Drinks Trading,تجارة المشروبات الكحولية
G512223,Mineral Water Trading,تجارة المياه المعدنية
G521904,General Trading,تجارة عامة
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
Other,Other Activity,نشاط آخر
